ID_ENTIDAD,ID_DISTRITO,CI,PAN,PRI,PRD,PT,MORENA,PVEM
1,1,0,1,0,0,0,0,0
1,2,0,0,0,0,1,0,0
1,3,0,0,0,0,0,0,1
2,1,0,1,0,0,0,1,0
2,2,0,0,0,0,0,0,0
2,3,0,0,1,0,1,0,0
2,4,0,0,0,1,0,0,0
2,5,0,0,0,1,0,0,0
2,6,0,0,0,1,0,0,0
2,7,0,0,1,0,0,1,0
2,8,0,0,0,1,0,0,1
3,1,0,1,0,0,1,0,0
3,2,0,1,0,0,1,0,0
4,1,0,0,1,0,0,0,0
4,2,0,1,0,0,0,0,0
5,1,0,0,0,0,1,0,0
5,2,0,0,0,0,0,1,0
5,3,0,0,0,0,0,1,0
5,4,0,0,0,0,0,1,0
5,5,0,0,0,0,0,1,0
5,6,0,0,0,0,1,0,0
5,7,0,0,0,0,0,0,0
6,1,0,1,0,0,0,0,0
6,2,0,0,1,0,0,0,0
7,1,0,0,0,1,0,1,0
7,2,0,0,1,0,0,1,0
7,3,0,0,0,1,0,0,0
7,4,0,1,0,0,0,0,0
7,5,0,0,1,0,1,0,0
7,6,0,0,0,1,0,1,0
7,7,0,1,0,0,0,1,0
7,8,0,0,1,0,0,1,0
7,9,0,1,0,0,0,1,0
7,10,0,0,1,0,0,0,1
7,11,0,0,0,1,0,0,1
7,12,0,0,1,0,0,0,0
7,13,0,0,0,1,0,0,1
8,1,0,0,0,1,0,0,0
8,2,0,0,1,0,0,1,0
8,3,0,0,0,1,1,0,0
8,4,0,1,0,0,0,1,0
8,5,0,1,0,0,0,0,1
8,6,0,0,0,0,0,0,0
8,7,0,1,0,0,1,0,0
8,8,0,0,0,0,0,1,0
8,9,0,1,0,0,0,0,1
9,1,0,0,0,1,0,0,0
9,2,0,0,1,0,0,0,1
9,3,0,1,0,0,0,1,0
9,4,0,0,0,1,1,0,0
9,5,0,0,1,0,0,1,0
9,6,0,1,0,0,0,0,0
9,7,0,0,0,1,0,0,0
9,8,0,0,1,0,1,0,0
9,9,0,0,1,0,0,0,0
9,10,0,1,0,0,0,1,0
9,11,0,0,0,1,0,0,0
9,12,0,0,0,1,0,0,0
9,13,0,0,0,1,0,1,0
9,14,0,0,0,1,0,0,0
9,15,0,1,0,0,0,0,1
9,16,0,0,1,0,0,1,0
9,17,0,1,0,0,0,0,1
9,18,0,0,0,1,0,0,0
9,19,0,0,1,0,0,0,0
9,20,0,0,0,1,1,0,0
9,21,0,0,1,0,0,0,0
9,22,0,0,1,0,0,0,0
9,23,0,1,0,0,0,1,0
9,24,0,1,0,0,0,0,0
10,1,0,1,0,0,0,1,0
10,2,0,0,1,0,0,1,0
10,3,0,0,1,0,0,1,0
10,4,0,1,0,0,1,0,0
11,1,0,0,0,0,0,0,0
11,2,0,0,0,0,0,0,0
11,3,0,0,0,0,0,0,0
11,4,0,0,0,0,0,0,0
11,5,0,0,0,0,0,0,0
11,6,0,0,0,0,0,0,0
11,7,0,0,0,0,0,0,0
11,8,0,1,0,0,0,0,0
11,9,0,0,0,0,0,0,0
11,10,0,0,0,0,0,0,0
11,11,0,0,0,0,0,0,0
11,12,0,0,0,0,0,0,0
11,13,0,0,0,0,0,1,0
11,14,0,0,0,0,0,0,0
11,15,0,0,0,0,0,0,0
12,1,0,0,1,0,0,1,0
12,2,0,0,0,0,0,0,0
12,3,0,0,0,1,0,0,1
12,4,0,0,0,1,0,0,0
12,5,0,0,0,1,1,0,0
12,6,0,0,0,1,0,1,0
12,7,0,0,1,0,0,1,0
12,8,0,0,1,0,0,0,1
12,9,0,0,1,0,0,0,0
13,1,0,0,1,0,0,1,0
13,2,0,1,0,0,0,0,1
13,3,0,0,0,1,0,0,0
13,4,0,1,0,0,0,1,0
13,5,0,0,0,1,0,0,1
13,6,0,0,1,0,0,1,0
13,7,0,0,1,0,0,0,0
14,1,0,1,0,0,0,1,0
14,2,0,1,0,0,0,0,0
14,3,0,1,0,0,0,0,0
14,4,0,0,1,0,0,0,1
14,5,0,0,0,1,0,1,0
14,6,0,1,0,0,0,0,1
14,7,0,0,1,0,0,1,0
14,8,0,1,0,0,0,0,1
14,9,1,0,0,1,0,0,1
14,10,0,1,0,0,0,1,0
14,11,0,0,1,0,0,1,0
14,12,0,0,0,1,0,1,0
14,13,0,1,0,0,0,1,0
14,14,0,0,0,1,0,0,1
14,15,0,1,0,0,0,1,0
14,16,0,0,0,1,0,1,0
14,17,0,0,1,0,0,0,1
14,18,0,0,1,0,0,1,0
14,19,0,0,1,0,0,1,0
14,20,0,0,1,0,1,0,0
15,1,0,0,1,0,0,0,1
15,2,0,0,0,1,1,0,0
15,3,0,0,1,0,1,0,0
15,4,0,0,0,0,0,1,0
15,5,0,0,0,0,1,0,0
15,6,0,0,0,1,0,0,1
15,7,0,1,0,0,0,0,0
15,8,0,0,0,0,0,0,0
15,9,0,0,1,0,0,0,0
15,10,0,0,0,0,0,0,0
15,11,0,0,0,0,0,0,0
15,12,0,0,0,0,0,0,1
15,13,0,0,0,0,0,0,0
15,14,0,1,0,0,1,0,0
15,15,0,1,0,0,1,0,0
15,16,0,0,0,0,1,0,0
15,17,0,0,0,0,0,0,0
15,18,0,0,0,0,0,0,0
15,19,0,1,0,0,0,0,0
15,20,0,0,0,1,0,0,0
15,21,0,0,0,0,0,0,0
15,22,0,0,0,0,0,0,0
15,23,0,0,0,0,0,0,0
15,24,0,1,0,0,0,1,0
15,25,0,0,0,0,0,0,0
15,26,0,0,1,0,0,0,1
15,27,0,0,1,0,1,0,0
15,28,0,0,0,0,0,0,0
15,29,0,0,1,0,0,0,0
15,30,0,0,0,0,0,1,0
15,31,0,0,0,1,0,0,0
15,32,0,0,0,1,1,0,0
15,33,0,0,1,0,0,0,0
15,34,0,1,0,0,0,1,0
15,35,0,0,1,0,0,1,0
15,36,0,0,1,0,0,0,0
15,37,0,0,0,0,0,0,0
15,38,0,0,0,0,0,0,0
15,39,0,0,1,0,1,0,0
15,40,0,1,0,0,0,0,0
15,41,0,0,1,0,0,0,1
16,1,0,0,1,0,0,0,0
16,2,0,0,0,1,0,0,0
16,3,0,0,0,1,1,0,0
16,4,0,1,0,0,0,0,0
16,5,0,1,0,0,0,0,0
16,6,0,1,0,0,0,0,0
16,7,0,0,1,0,0,0,0
16,8,0,0,1,0,0,0,0
16,9,1,0,0,1,0,0,0
16,10,0,1,0,0,0,0,0
16,11,0,1,0,0,0,0,0
16,12,0,0,1,0,1,0,0
17,1,0,0,0,0,0,0,0
17,2,0,0,0,0,0,1,0
17,3,0,0,0,0,0,0,0
17,4,0,0,0,0,0,1,0
17,5,0,0,0,0,0,0,0
18,1,0,0,1,0,0,1,0
18,2,0,1,0,0,0,0,1
18,3,0,1,0,0,1,0,0
19,1,0,0,0,0,0,0,0
19,2,0,0,0,0,0,1,0
19,3,0,0,0,0,1,0,0
19,4,0,0,0,0,0,0,0
19,5,0,0,0,0,1,0,0
19,6,0,0,0,0,0,0,0
19,7,0,0,0,0,0,0,1
19,8,0,0,0,0,0,0,1
19,9,0,0,0,0,0,0,0
19,10,0,0,0,0,0,0,1
19,11,0,0,0,0,1,0,0
19,12,0,0,0,0,0,1,0
20,1,0,0,1,0,0,1,0
20,2,0,0,0,1,0,0,0
20,3,0,0,1,0,1,0,0
20,4,0,0,1,0,0,1,0
20,5,0,0,1,0,0,1,0
20,6,0,0,0,1,0,0,0
20,7,0,0,1,0,0,0,1
20,8,0,0,1,0,1,0,0
20,9,0,0,1,0,0,1,0
20,10,0,0,1,0,0,0,0
21,1,0,0,0,1,0,0,1
21,2,0,0,1,0,0,0,1
21,3,0,0,1,0,1,0,0
21,4,0,0,0,1,0,1,0
21,5,0,0,0,1,1,0,0
21,6,0,0,1,0,0,1,0
21,7,0,1,0,0,1,0,0
21,8,0,0,1,0,0,1,0
21,9,0,1,0,0,0,0,1
21,10,0,1,0,0,0,1,0
21,11,0,1,0,0,0,1,0
21,12,0,1,0,0,0,1,0
21,13,0,0,0,1,0,1,0
21,14,0,0,1,0,1,0,0
21,15,0,0,1,0,1,0,0
22,1,0,0,0,0,0,0,0
22,2,0,0,0,0,0,1,0
22,3,0,0,0,0,0,1,0
22,4,0,0,0,0,0,0,0
22,5,0,0,0,0,0,0,0
23,1,0,1,0,0,0,0,1
23,2,0,0,1,0,0,1,0
23,3,0,0,0,1,0,1,0
23,4,0,0,0,1,0,0,1
24,1,0,0,1,0,0,0,1
24,2,0,0,1,0,0,0,0
24,3,0,0,1,0,0,0,1
24,4,0,0,0,1,0,1,0
24,5,0,1,0,0,0,0,1
24,6,0,1,0,0,0,0,1
24,7,0,1,0,0,0,0,1
25,1,0,1,0,0,1,0,0
25,2,0,1,0,0,0,1,0
25,3,0,0,1,0,1,0,0
25,4,0,0,1,0,0,0,0
25,5,0,0,1,0,0,1,0
25,6,0,0,1,0,0,0,0
25,7,0,0,1,0,0,1,0
26,1,0,1,0,0,0,0,0
26,2,0,1,0,0,1,0,0
26,3,0,1,0,0,0,1,0
26,4,0,0,0,1,0,0,0
26,5,0,0,1,0,0,1,0
26,6,0,0,1,0,0,0,0
26,7,0,0,1,0,1,0,0
27,1,0,0,1,0,0,0,0
27,2,0,0,0,1,0,0,0
27,3,0,0,0,1,0,0,0
27,4,0,0,0,1,0,0,0
27,5,0,0,0,1,0,0,0
27,6,0,1,0,0,0,0,0
28,1,0,0,0,0,0,0,1
28,2,0,0,0,0,1,0,0
28,3,0,0,0,0,0,0,1
28,4,0,0,0,0,0,1,0
28,5,0,0,0,0,0,0,1
28,6,0,0,0,0,0,0,0
28,7,0,0,0,0,0,1,0
28,8,0,0,0,0,0,1,0
28,9,0,0,0,0,1,0,0
29,1,1,1,0,0,1,0,0
29,2,0,0,0,1,1,0,0
29,3,0,0,1,0,0,0,0
30,1,0,0,1,0,0,0,1
30,2,0,1,0,0,0,0,1
30,3,0,1,0,0,0,1,0
30,4,0,1,0,0,0,1,0
30,5,0,0,0,1,0,1,0
30,6,0,0,0,1,0,0,0
30,7,0,1,0,0,0,0,0
30,8,0,0,1,0,0,1,0
30,9,0,0,1,0,0,0,0
30,10,0,0,1,0,0,0,0
30,11,0,0,1,0,0,0,0
30,12,0,1,0,0,0,0,1
30,13,0,1,0,0,0,0,1
30,14,0,0,0,1,0,1,0
30,15,0,0,1,0,0,1,0
30,16,0,0,1,0,0,1,0
30,17,0,1,0,0,0,1,0
30,18,0,0,0,1,0,0,1
30,19,0,0,0,1,0,1,0
30,20,0,0,0,1,0,0,0
31,1,0,0,0,0,0,0,0
31,2,0,0,0,0,0,0,1
31,3,0,0,0,0,0,0,0
31,4,0,0,0,0,0,0,0
31,5,0,0,0,0,0,0,1
32,1,0,0,1,0,0,1,0
32,2,0,1,0,0,0,0,1
32,3,0,0,1,0,1,0,0
32,4,0,0,1,0,0,0,0