"ID_EDO_DIST","PAN","PRI","PRD","PVEM","PT","MC","PANAL","PRI_PVEM","PRD_PT_MC","PRD_PT","PRD_MC","PT_MC","NUM_VOTOS_NULOS","NUM_VOTOS_CAN_NREG","GANA_PRI_PVEM","GANA_PRD_PT_MC"
"0101",39608,48006,8857,7923,4631,1546,25754,0,2014,688,116,158,12118,116,NA,"PT"
"0102",51868,51427,17687,9863,4463,3699,20557,0,4243,861,282,164,14746,316,NA,"MC"
"0103",57879,45798,13038,8126,2594,2281,11609,0,2562,593,160,128,12132,211,NA,"PRD"
"0201",46166,41807,14696,4848,1865,2119,8437,10354,3801,964,371,153,3911,69,"PRI","MC"
"0202",52346,41858,15908,3961,1719,2210,6132,9588,3719,848,355,132,3911,116,"PRI","PRD"
"0203",34343,47598,27413,4495,5612,2366,5009,9539,5858,2197,389,194,3892,73,"PRI","PRD"
"0204",42502,38515,25357,6322,9148,3262,10774,9808,7144,2305,424,286,3751,56,"PRI","PT"
"0205",49071,32991,24818,6056,3983,3485,5507,8571,5696,1611,457,197,3735,131,"PVEM","PRD"
"0206",44141,45637,24768,6077,3497,3878,6803,12382,6487,1533,532,203,4160,90,"PRI","PRD"
"0207",47966,53279,23343,6815,4507,2686,6680,13875,6025,1686,394,178,4421,93,"PVEM","PRD"
"0208",49972,49284,33163,7417,4838,4705,7599,11905,7980,2165,655,271,4154,143,"PRI","MC"
"0301",43546,34617,10836,2261,3562,2052,4573,0,3989,1184,186,159,9687,73,NA,"PT"
"0302",46037,42299,14356,4480,2968,2654,5052,0,4513,1367,291,164,11554,108,NA,"MC"
"0401",50947,84263,15313,4271,2608,5621,14511,0,4109,906,345,478,17689,157,NA,"PRD"
"0402",58762,60868,17081,3629,3597,3707,5223,14255,4694,1543,343,392,7104,72,"PVEM","PT"
"0501",55600,57821,11819,5607,2489,1565,4548,0,2308,672,161,119,11173,90,NA,"PRD"
"0502",61822,68066,17268,5314,3685,1885,5830,0,3285,1145,259,168,11806,61,NA,"PRD"
"0503",69921,58451,16067,8817,3407,2050,4332,0,3202,869,189,148,11423,91,NA,"MC"
"0504",48677,61712,12671,5677,2916,1395,6685,0,2611,786,164,130,12553,85,NA,"PRD"
"0505",56992,65046,18121,6144,3678,1660,5624,0,4127,1057,233,144,13316,81,NA,"MC"
"0506",76960,50999,25116,4631,4251,2209,7721,0,5122,1245,245,160,11924,129,NA,"MC"
"0507",54405,52343,10829,3745,2507,1151,8363,0,2194,639,119,89,9872,68,NA,"PRD"
"0601",57609,58345,15821,3850,9069,1933,3837,7054,2883,1075,149,207,5758,110,"PRI","PT"
"0602",50661,52968,8533,3867,2230,1046,1823,6178,1516,640,123,66,3944,42,"PRI","PRD"
"0701",25702,44423,35007,51286,8197,2108,2961,6002,6797,4211,339,216,11915,38,"PVEM","PT"
"0702",15688,54383,33379,27466,5272,901,6149,2938,2361,2146,94,52,9466,61,"PRI","PRD"
"0703",23479,39837,25874,46973,3550,1487,12634,0,3111,1601,157,79,13597,42,NA,"PRD"
"0704",26959,39994,22711,38119,4102,2361,12602,7777,3475,1757,213,128,11018,80,"PRI","MC"
"0705",19137,54506,28914,30342,3256,1949,4572,7974,3915,1708,246,103,11581,105,"PRI","MC"
"0706",34360,38631,27490,34739,4250,2149,5629,11217,4727,2090,239,104,12355,140,"PRI","PRD"
"0707",30817,28790,18662,24031,5831,1708,9766,6180,3146,1994,178,128,8012,64,"PRI","PT"
"0708",10913,40910,19605,72181,5818,1427,6796,0,3301,2460,188,115,15653,93,NA,"MC"
"0709",21959,20934,36601,24625,4871,3171,15230,15665,8975,2706,442,209,13357,230,"PVEM","PRD"
"0710",30210,35694,18840,47750,3257,1448,7534,0,2803,1517,172,87,14775,49,NA,"PRD"
"0711",30221,42147,28235,34096,6336,1425,2729,8318,3635,3261,265,121,10847,59,"PRI","PRD"
"0712",45385,35053,15923,15753,3415,1645,10666,11808,4116,1530,240,145,8561,106,"PRI","MC"
"0801",31681,62022,25200,12598,5008,2831,9592,0,7225,1820,419,261,17221,127,NA,"PRD"
"0802",18230,31611,11161,5391,2610,1303,4107,0,3177,916,221,197,9471,46,NA,"PRD"
"0803",39853,36668,19164,7511,3173,2489,7744,0,4545,1016,296,172,9958,145,NA,"MC"
"0804",20833,32075,13394,6913,3838,1659,6056,0,4235,1250,227,169,10820,67,NA,"PRD"
"0805",53426,73145,12554,4904,2682,1339,9425,0,2526,929,197,151,12861,74,NA,"MC"
"0806",64120,64509,13546,6518,2368,1690,8384,0,2498,736,224,120,14078,161,NA,"PRD"
"0807",32366,66791,15993,6846,3598,1801,7843,0,3133,1261,346,168,14906,98,NA,"MC"
"0808",55360,63092,13006,8361,4385,1588,9939,0,2978,910,227,123,15727,164,NA,"PT"
"0809",34232,77936,6458,3341,1977,655,8332,0,1050,506,104,84,15002,132,NA,"MC"
"0901",15474,19608,52873,4873,6570,3725,4357,6615,17197,4351,773,412,4566,103,"PRI","PRD"
"0902",45956,30168,49669,5501,7685,4291,5083,8004,13246,2900,611,379,6230,193,"PRI","PT"
"0903",35787,32599,58652,5745,7068,4947,6070,8951,17253,3396,796,483,6034,188,"PRI","PRD"
"0904",24013,23307,55805,5666,10158,4976,5120,7188,19312,4395,730,595,5184,158,"PRI","PRD"
"0905",48464,25757,46975,4507,8091,4220,4226,5448,11602,2626,546,440,6170,235,"PRI","MC"
"0906",22278,27809,59718,5182,6502,4528,5468,8829,18207,3614,885,415,5488,181,"PVEM","PRD"
"0907",28572,33134,61589,6313,7543,5022,5452,10504,17774,3533,789,498,6001,218,"PVEM","PRD"
"0908",37208,34460,58277,6063,7921,5254,5265,10128,16470,3214,775,429,6386,211,"PVEM","PRD"
"0909",24460,31373,55844,6116,5681,4297,4576,11136,16370,3337,799,438,5417,179,"PVEM","PRD"
"0910",63020,37791,55040,5573,6457,4288,5555,8791,13919,2799,600,365,7494,223,"PRI","PRD"
"0911",24928,25985,55509,4839,6766,4340,4974,7954,15336,3352,703,420,5251,193,"PRI","PRD"
"0912",33622,32146,51225,6119,7363,4883,5606,10360,15046,3081,783,422,6578,180,"PVEM","PRD"
"0913",24923,28065,52805,5029,6990,4070,5594,8252,14891,3370,696,372,5448,155,"PVEM","PRD"
"0914",21860,23518,59730,5738,8335,4443,5206,8277,20598,4778,863,504,5606,158,"PVEM","PRD"
"0915",86798,40144,56120,6148,10373,5437,5364,8216,10893,2356,562,439,9264,247,"PRI","PRD"
"0916",38884,27682,61223,6077,7412,4691,6736,8908,18322,4112,911,440,6683,192,"PVEM","PRD"
"0917",48545,34608,59343,7700,7403,4120,7746,10522,16438,4259,690,428,7900,225,"PVEM","PRD"
"0918",18802,25448,54418,5420,7235,4580,5274,8451,17912,3692,762,429,4895,174,"PVEM","PRD"
"0919",14769,20315,58469,4781,7653,4443,4863,7271,21677,4876,827,581,4725,110,"PRI","PRD"
"0920",31382,30095,55804,6055,10889,5481,6730,8499,17447,4121,640,621,6142,188,"PRI","PT"
"0921",19783,28331,55251,6010,8234,4265,6397,8571,17294,4501,702,463,6003,165,"PRI","PRD"
"0922",12742,20087,55970,5448,8353,4451,4817,7535,22053,5555,860,611,4792,142,"PRI","PRD"
"0923",37781,24506,70836,4821,9225,5581,4768,6118,18657,4365,808,584,6814,234,"PRI","PRD"
"0924",51226,31460,56628,4972,8173,4488,4332,6983,12755,2825,580,410,7076,256,"PVEM","PRD"
"0925",22251,22980,58560,6245,9054,4850,5691,7468,19002,4661,780,711,5842,202,"PRI","PRD"
"0926",50560,36406,53719,5678,9201,4432,5763,8636,14880,4129,681,480,7745,442,"PRI","PT"
"0927",16830,27264,54306,6322,7223,4380,7419,8732,15787,3901,695,466,5248,186,"PVEM","PRD"
"1001",37513,67967,5348,3635,13671,628,3284,0,2544,1292,68,204,12857,88,NA,"PT"
"1002",52503,74525,19014,5918,3974,1711,5201,0,5171,1389,271,146,16082,82,NA,"PRD"
"1003",49051,73124,7438,6872,6827,819,3638,0,2671,1284,128,210,14985,46,NA,"PRD"
"1004",42593,63980,11555,3901,33603,1526,4615,0,6049,2375,115,603,11217,98,NA,"PT"
"1101",49262,43238,8777,7270,2030,1010,5591,5886,752,386,65,49,6939,73,"PRI","PRD"
"1102",58889,39610,10607,7019,2165,2351,6044,5163,700,289,83,60,8494,63,"PVEM","PRD"
"1103",84895,59996,7994,9304,1584,1325,6029,15194,996,276,73,77,8541,131,"PRI","PRD"
"1104",65280,55623,11544,8437,2667,2017,6761,7695,1229,437,91,72,9194,116,"PRI","PRD"
"1105",90437,57745,7670,10151,1516,1376,5130,12791,901,216,52,36,8637,132,"PRI","PRD"
"1106",82495,57311,8318,10479,1717,1467,6257,15376,1213,321,54,57,8259,139,"PVEM","MC"
"1107",66851,56532,9945,9204,1177,933,3803,9442,1051,389,98,37,6457,64,"PRI","PRD"
"1108",81077,49167,12747,9987,2886,2439,10445,6551,1794,469,123,81,7790,70,"PVEM","PRD"
"1109",70951,58493,7921,5119,1561,1618,3964,9969,1357,420,119,58,6472,85,"PRI","MC"
"1110",61038,35895,12562,13911,3008,1539,7464,4476,1342,504,102,66,7291,80,"PVEM","PT"
"1111",58503,48518,10447,6234,2307,904,2962,7762,1022,553,70,43,6307,26,"PRI","MC"
"1112",65326,46554,13878,9747,2717,2235,5952,9761,2057,426,154,90,7643,54,"PVEM","PRD"
"1113",61687,27852,23008,10603,2072,1560,9564,5136,1892,753,208,93,6900,59,"PRI","PRD"
"1114",50322,34343,20824,7426,1995,6017,3811,6148,1902,824,236,99,7107,42,"PRI","PRD"
"1201",8905,54560,57960,4277,1739,5609,1445,0,3454,2021,463,98,9216,87,NA,"PRD"
"1202",24480,49541,49666,7113,4093,1897,5094,0,6068,2406,492,167,11430,125,NA,"PT"
"1203",6753,54241,50153,2745,1806,3252,11989,0,6097,2922,662,162,11876,28,NA,"PRD"
"1204",13108,34665,39135,7620,3008,13016,4324,12151,13304,2072,1648,407,6047,109,"PVEM","MC"
"1205",15626,48213,57311,2401,14732,9358,2274,0,3114,2908,536,276,11119,39,NA,"PRD"
"1206",13654,58105,46665,6495,8159,10212,3336,0,3839,2143,863,216,13191,77,NA,"PRD"
"1207",13385,45506,57509,5515,3315,7637,3559,0,8629,2638,942,230,12660,97,NA,"PRD"
"1208",30256,34962,46729,11040,5458,1589,2784,0,4299,3076,465,110,13603,55,NA,"PRD"
"1209",14248,35991,39274,5034,2868,8129,3799,10790,10781,2270,1358,284,6332,124,"PRI","PRD"
"1301",30776,69591,33198,2693,3486,1463,11038,0,3152,1579,256,87,13089,85,NA,"PRD"
"1302",22479,58846,33768,6231,8516,1793,10856,0,5932,2688,376,182,11513,79,NA,"PT"
"1303",20785,64373,34024,8600,6382,2038,20389,0,6730,2474,343,171,12246,53,NA,"PRD"
"1304",42733,52064,19308,7273,2463,1152,6716,0,3152,1235,226,103,10841,67,NA,"PRD"
"1305",27159,67273,40452,11625,3198,2422,8463,0,8084,2557,509,178,12997,61,NA,"PRD"
"1306",53892,56330,27445,6401,3944,2915,13869,0,7289,1707,396,271,11813,124,NA,"MC"
"1307",33371,64850,28751,7562,4072,2727,20212,0,7688,2199,503,229,14703,48,NA,"MC"
"1401",54428,61945,13552,3875,4244,11831,5948,8561,1242,377,240,894,5573,49,"PRI","PRD"
"1402",65457,55863,7302,6422,1085,7374,4720,9949,911,243,166,140,6479,90,"PRI","PRD"
"1403",67280,60482,4064,5174,1140,13178,3485,7726,846,148,179,202,7324,191,"PVEM","MC"
"1404",48187,58309,10152,5910,2933,22209,5833,12970,3568,418,466,513,6651,208,"PRI","PRD"
"1405",48174,55986,15774,4210,2818,26668,6708,8880,5155,577,895,804,6485,92,"PRI","PRD"
"1406",73909,58205,11409,5980,2588,20741,5154,12501,3639,430,499,370,9304,230,"PRI","PRD"
"1407",40499,54999,9289,6560,3798,19585,5552,12904,4127,470,422,455,5995,128,"PRI","PT"
"1408",57889,51521,10675,4708,2577,20683,4168,10737,3077,318,433,404,7336,163,"PRI","PRD"
"1409",41860,49764,9811,5735,3541,23018,5030,11570,4200,411,481,521,6332,140,"PRI","PT"
"1410",66573,43156,10930,6280,2660,23901,4386,11266,4278,432,537,492,8672,226,"PVEM","PT"
"1411",39833,50798,9064,5706,2730,24356,4733,12045,4378,405,615,573,5624,117,"PRI","PT"
"1412",61861,70559,17896,9765,3631,53785,7560,16045,6053,579,1050,1051,9959,157,"PRI","MC"
"1413",49122,51784,10237,5861,2799,24385,5170,11747,3852,389,526,514,6553,160,"PRI","PT"
"1414",50349,46261,9346,7584,2626,24135,4343,12908,3954,431,596,528,6652,118,"PVEM","PRD"
"1415",53818,57352,12781,5419,5443,9075,4745,8904,1836,534,312,794,6230,70,"PRI","PT"
"1416",47718,54565,10081,6810,2653,27225,5088,13286,4491,455,627,477,6437,114,"PRI","PRD"
"1417",53965,59334,11939,6701,3990,19234,7760,9452,2085,374,307,613,6336,90,"PRI","PT"
"1418",63748,56822,13884,3904,1779,16065,11302,6790,1948,435,388,361,6739,68,"PVEM","PRD"
"1419",47277,58810,20619,5150,2990,13856,8652,8222,2429,669,444,558,6291,59,"PRI","PRD"
"1501",36754,77078,15777,3647,4666,4508,4263,14607,2669,1289,230,128,6488,50,"PVEM","PRD"
"1502",40009,56375,31987,5131,3451,8534,6786,12561,6880,1336,484,205,5298,114,"PRI","MC"
"1503",35742,65194,12497,3815,2097,4426,6742,12995,2328,589,342,163,6634,78,"PRI","MC"
"1504",42059,56059,41028,5554,4281,6834,7575,16344,10559,2692,690,267,5386,111,"PRI","PRD"
"1505",33729,71253,46731,5581,7537,7725,5968,14913,7510,2389,638,373,6061,92,"PRI","PRD"
"1506",43183,51625,50339,5154,4280,3532,10022,14390,9915,2563,570,175,5532,147,"PRI","PRD"
"1507",54086,51231,41498,4952,6787,3618,7521,13971,10080,2418,423,305,5677,196,"PRI","PT"
"1508",21392,41339,32903,4194,3012,3731,6706,11936,7354,1787,553,209,3766,86,"PRI","PRD"
"1509",31308,75923,14200,5277,7430,12824,7069,15639,3798,894,487,268,7630,91,"PRI","MC"
"1510",28624,56120,44993,7168,4073,3500,7229,18188,12297,2908,696,250,5020,144,"PRI","PRD"
"1511",26902,49095,37709,4983,3701,3132,6136,13767,9104,2125,547,254,4576,154,"PRI","PRD"
"1512",35991,58828,52505,7341,4394,6667,9108,15033,11266,2430,747,288,6917,712,"PRI","PRD"
"1513",19691,43753,36875,4173,3560,2590,5098,13934,10518,2265,510,261,3951,123,"PRI","PRD"
"1514",47223,43977,32234,4433,4207,2926,5916,12936,9632,2063,529,227,4871,122,"PRI","PRD"
"1515",61462,42047,30980,4608,4297,3038,5690,10418,6558,1606,408,218,5667,130,"PVEM","PRD"
"1516",24429,52509,41557,5384,4504,2973,7305,14961,10232,2880,638,256,4991,125,"PRI","PT"
"1517",20213,42673,41089,4653,3904,3106,9784,13759,11136,2251,618,229,4479,114,"PVEM","PRD"
"1518",53900,64423,34029,5694,8431,2847,6233,12886,5855,1918,336,206,6270,122,"PRI","PRD"
"1519",35638,44535,36813,4213,4125,2514,4683,12369,8564,1970,458,214,4420,137,"PRI","PRD"
"1520",17961,39145,39355,3625,3486,4776,3807,10561,9566,1756,650,250,3527,167,"PRI","PRD"
"1521",45247,43803,24769,4075,3109,1988,4505,11889,5540,1555,295,179,4310,115,"PRI","MC"
"1522",43212,36852,22922,3317,3254,1793,3639,10147,5641,1473,246,125,3863,117,"PRI","PT"
"1523",40636,67907,31892,4080,6809,2176,6269,13754,3191,2967,198,139,8448,60,"PRI","PRD"
