Riesgo,Suma Asegurada
1,150000
2,150000
3,150000
4,150000
5,150000
6,150000
7,150000
8,150000
9,155400
10,161900
11,162200
12,163300
13,166600
14,169300
15,174600
16,174600
17,175600
18,177600
19,177600
20,178200
21,178500
22,183700
23,185200
24,186300
25,187300
26,187500
27,190900
28,194000
29,198700
30,199800
31,200500
32,201600
33,202100
34,204000
35,204200
36,204500
37,205300
38,206200
39,206400
40,206500
41,207800
42,207900
43,208800
44,210700
45,210800
46,211000
47,211400
48,211800
49,212200
50,212700
51,214400
52,215500
53,215800
54,217100
55,217700
56,219300
57,219700
58,219900
59,220300
60,220800
61,223700
62,224800
63,225800
64,227900
65,228500
66,229000
67,229500
68,230300
69,230400
70,230500
71,230700
72,231100
73,232200
74,232500
75,234200
76,234400
77,234800
78,235400
79,235400
80,235900
81,236700
82,237800
83,237800
84,237900
85,238700
86,238800
87,239400
88,239700
89,240600
90,241100
91,241200
92,241200
93,241600
94,242800
95,243400
96,244100
97,244200
98,244600
99,244600
100,245000
101,245900
102,246000
103,246100
104,246400
105,246500
106,248300
107,248600
108,249800
109,251500
110,251800
111,252300
112,252500
113,253200
114,253300
115,254700
116,256000
117,256600
118,257000
119,257500
120,259100
121,260000
122,260000
123,260800
124,260900
125,261100
126,261100
127,261200
128,261300
129,262000
130,262200
131,262400
132,263200
133,263800
134,264000
135,264500
136,264700
137,265000
138,265000
139,265800
140,266000
141,266200
142,266200
143,266400
144,268700
145,269400
146,270600
147,270600
148,270800
149,271400
150,271800
151,271900
152,272700
153,273300
154,273500
155,273800
156,275200
157,275300
158,276400
159,276600
160,276900
161,277500
162,279000
163,279400
164,279700
165,281500
166,282000
167,282200
168,282900
169,284800
170,285100
171,287400
172,288900
173,289500
174,289500
175,290100
176,290300
177,290800
178,290800
179,291100
180,291200
181,291300
182,291800
183,292500
184,292700
185,292700
186,292700
187,292800
188,293200
189,293200
190,293400
191,293600
192,293700
193,295000
194,295000
195,295100
196,296100
197,296500
198,296500
199,296600
200,296900
201,297400
202,297500
203,297900
204,298200
205,298300
206,298400
207,299000
208,299100
209,299200
210,299300
211,299800
212,300400
213,300500
214,300600
215,301000
216,301100
217,302300
218,302500
219,302600
220,302800
221,302900
222,303100
223,304000
224,304900
225,305400
226,305700
227,305900
228,306400
229,308000
230,309500
231,309900
232,310400
233,311000
234,311600
235,312400
236,313600
237,313800
238,314000
239,314400
240,317100
241,317300
242,317300
243,317600
244,317900
245,318200
246,318700
247,318900
248,319700
249,319700
250,320500
251,320600
252,320900
253,321000
254,321400
255,321600
256,321800
257,321800
258,322400
259,323300
260,323300
261,323600
262,324000
263,324500
264,325700
265,326000
266,327100
267,327200
268,327700
269,327800
270,327800
271,328200
272,328300
273,328400
274,328400
275,328500
276,328900
277,329200
278,330000
279,330100
280,330500
281,330600
282,330600
283,330800
284,331100
285,331300
286,331300
287,332600
288,332600
289,332700
290,332700
291,333600
292,333700
293,334600
294,334800
295,334900
296,335100
297,336600
298,336600
299,336700
300,337200
301,337900
302,338000
303,338200
304,338500
305,338600
306,340000
307,340200
308,340400
309,340400
310,340400
311,340700
312,340900
313,341200
314,342400
315,342500
316,342800
317,343500
318,343500
319,343600
320,343800
321,344300
322,344500
323,345000
324,345100
325,345100
326,345400
327,345600
328,345600
329,347000
330,347500
331,347600
332,348300
333,349500
334,349800
335,350200
336,350700
337,350800
338,351000
339,351100
340,351100
341,351500
342,352900
343,353100
344,354500
345,354600
346,355100
347,355900
348,356300
349,357300
350,357500
351,357700
352,357900
353,358400
354,358400
355,358900
356,358900
357,359000
358,359200
359,359800
360,359900
361,360600
362,361600
363,362300
364,363300
365,363600
366,363600
367,364300
368,364600
369,364900
370,365900
371,365900
372,367400
373,368800
374,368900
375,368900
376,368900
377,369200
378,369400
379,369600
380,369700
381,370000
382,370700
383,371800
384,371800
385,373100
386,373500
387,374000
388,374100
389,374900
390,374900
391,375200
392,375200
393,375700
394,375800
395,376600
396,377400
397,377700
398,377900
399,378000
400,378400
401,379500
402,380800
403,380900
404,382100
405,383800
406,384000
407,385500
408,385500
409,387000
410,387600
411,387900
412,390400
413,393100
414,393700
415,394000
416,395400
417,395500
418,396900
419,397800
420,399200
421,399400
422,399800
423,399900
424,401200
425,401700
426,402100
427,402800
428,402800
429,403300
430,404000
431,404300
432,405000
433,405400
434,406500
435,408000
436,408200
437,411500
438,412300
439,412500
440,413000
441,414000
442,414500
443,414500
444,416200
445,416300
446,416400
447,417300
448,417700
449,418300
450,418400
451,419100
452,419100
453,420600
454,420900
455,420900
456,421600
457,423500
458,425800
459,426700
460,429400
461,430200
462,431400
463,432100
464,432200
465,432200
466,432400
467,432500
468,433000
469,433100
470,434000
471,435400
472,435500
473,437300
474,441700
475,441900
476,443500
477,443900
478,444300
479,445200
480,445500
481,446600
482,447700
483,449700
484,449900
485,450300
486,451000
487,458100
488,461400
489,463400
490,466900
491,467600
492,467600
493,468400
494,469300
495,469600
496,470400
497,475400
498,477600
499,479300
500,479600
501,483400
502,484000
503,484900
504,487500
505,487600
506,488800
507,490800
508,494200
509,495800
510,498200
511,498300
512,500000
513,504100
514,507700
515,514300
516,517900
517,521300
518,522100
519,522200
520,523000
521,523500
522,524200
523,529000
524,530300
525,533300
526,534800
527,535200
528,536200
529,536500
530,541800
531,541800
532,544400
533,545300
534,546300
535,548700
536,549400
537,551900
538,552100
539,554100
540,556300
541,560200
542,562400
543,562800
544,564000
545,566900
546,566900
547,567600
548,569600
549,569900
550,570000
551,571000
552,573900
553,574200
554,575700
555,576600
556,579400
557,579900
558,580500
559,580600
560,581400
561,582300
562,582400
563,582800
564,583000
565,583900
566,583900
567,585200
568,587600
569,588400
570,589300
571,589400
572,590500
573,593300
574,594800
575,595800
576,597400
577,597800
578,598300
579,604000
580,605500
581,607300
582,608200
583,608700
584,608700
585,609100
586,611200
587,614000
588,614700
589,614900
590,615700
591,616900
592,617300
593,620800
594,621000
595,622200
596,623800
597,625200
598,625300
599,626800
600,627000
601,629000
602,629500
603,630200
604,634200
605,635300
606,635800
607,636600
608,640400
609,641000
610,641300
611,641600
612,642300
613,643500
614,644500
615,645800
616,645900
617,647600
618,647800
619,648100
620,648300
621,648500
622,649300
623,649400
624,649700
625,650600
626,653600
627,657100
628,659500
629,659800
630,660100
631,660400
632,661300
633,661800
634,661800
635,662200
636,664200
637,664200
638,664700
639,664800
640,666100
641,666200
642,666600
643,666900
644,667000
645,669400
646,669500
647,670300
648,670600
649,672400
650,672800
651,673200
652,673800
653,674100
654,675400
655,676000
656,677500
657,681200
658,681800
659,681800
660,683000
661,683900
662,685600
663,685900
664,689100
665,689200
666,690100
667,691600
668,692000
669,692500
670,692800
671,693800
672,694000
673,694300
674,694700
675,696100
676,700000
677,700700
678,703100
679,703400
680,704700
681,705000
682,705900
683,706100
684,709200
685,712800
686,712800
687,713200
688,713700
689,713900
690,714100
691,714600
692,717400
693,718700
694,719700
695,720100
696,722600
697,722600
698,723100
699,723400
700,724900
701,726400
702,727700
703,728300
704,731200
705,731700
706,732700
707,733900
708,736300
709,737200
710,737400
711,738100
712,743700
713,745800
714,746400
715,746900
716,747100
717,750700
718,750900
719,752000
720,752600
721,758000
722,758000
723,758600
724,759100
725,759800
726,761100
727,762300
728,764300
729,766800
730,769200
731,770400
732,772000
733,774500
734,785000
735,785500
736,785500
737,786100
738,790200
739,790500
740,790900
741,791500
742,803100
743,803900
744,807100
745,819000
746,819400
747,845600
748,845900
749,859400
750,861000
751,867900
752,1192100
753,1248500
754,1446800
755,1461600
756,1516900
757,1540400
758,1559100
759,1594900
760,1616200
761,1626300
762,1639600
763,1729100
764,1748600
765,1809500
766,1812600
767,1818600
768,1847000
769,1911800
770,2007000
771,2007000
772,2021400
773,2053600
774,2056200
775,2066600
776,2152300
777,2160400
778,2174500
779,2186800
780,2224300
781,2233600
782,2238700
783,2248000
784,2255000
785,2364700
786,2377800
787,2415700
788,2430500
789,2455900
790,2478000
791,2495600
792,2510800
793,2525600
794,2542100
795,2658800
796,2711800
797,2862800
798,2894100
799,2928000
800,3000000
